SalesTerritoryKey,SalesTerritoryAlternateKey,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup,SalesTerritoryImage
1,1,Northwest,United States,North America,null
2,2,Northeast,United States,North America,null
3,3,Central,United States,North America,null
4,4,Southwest,United States,North America,null
5,5,Southeast,United States,North America,null
6,6,Canada,Canada,North America,null
7,7,France,France,Europe,null
8,8,Germany,Germany,Europe,null
9,9,Australia,Australia,Pacific,null
10,10,United Kingdom,United Kingdom,Europe,null
